"Produto","Mes","","","","",""
"Creme","Setembro","","","","",""
"Escova","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Creme","Outubro","","","","",""
"Creme","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Oculos","Outubro","","","","",""
"Escova","Outubro","","","","",""
"Creme","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Oculos","Outubro","","","","",""
"Oculos","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Oculos","Outubro","","","","",""
"Oculos","Novembro","","","","",""
"Oculos","Novembro","","","","",""
"Camiseta","Novembro","","","","",""
"Camiseta","Novembro","","","","",""
"Oculos","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Oculos","Novembro","","","","",""
"Oculos","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Camiseta","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Camiseta","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Camiseta","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Creme","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Outubro","","","","",""
"Chinelo","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Oculos","Outubro","","","","",""
"Creme","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Chinelo","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Chinelo","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Camiseta","Outubro","","","","",""
"Oculos","Outubro","","","","",""
"Chinelo","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Chinelo","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Chinelo","Outubro","","","","",""
"Oculos","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Tenis","Outubro","","","","",""
"Oculos","Outubro","","","","",""
"Creme","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Oculos","Novembro","","","","",""
"Camiseta","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Tenis","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Camiseta","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Oculos","Novembro","","","","",""
"Oculos","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Chinelo","Novembro","","","","",""
"Tenis","Novembro","","","","",""
